Timestamp,Frame,Class,Confidence,People Count
2025-10-26 01:49:30,11,motorcycle,0.52,5
2025-10-26 01:49:30,11,person,0.48,6
2025-10-26 01:49:30,11,person,0.47,7
2025-10-26 01:49:30,11,person,0.45,8
2025-10-26 01:49:30,11,motorcycle,0.44,8
2025-10-26 01:49:30,12,person,0.82,1
2025-10-26 01:49:30,12,person,0.77,2
2025-10-26 01:49:30,12,person,0.61,3
2025-10-26 01:49:30,12,person,0.57,4
2025-10-26 01:49:30,12,person,0.53,5
2025-10-26 01:49:30,12,motorcycle,0.50,5
2025-10-26 01:49:30,12,person,0.49,6
2025-10-26 01:49:30,12,person,0.46,7
2025-10-26 01:49:30,12,person,0.45,8
2025-10-26 01:49:30,13,person,0.81,1
2025-10-26 01:49:30,13,person,0.77,2
2025-10-26 01:49:30,13,person,0.61,3
2025-10-26 01:49:30,13,person,0.60,4
2025-10-26 01:49:30,13,motorcycle,0.59,4
2025-10-26 01:49:30,13,motorcycle,0.54,4
2025-10-26 01:49:30,13,person,0.50,5
2025-10-26 01:49:30,13,person,0.49,6
2025-10-26 01:49:30,13,person,0.44,7
2025-10-26 01:49:30,13,person,0.44,8
2025-10-26 01:49:30,13,truck,0.42,8
2025-10-26 01:49:30,14,person,0.82,1
2025-10-26 01:49:30,14,person,0.78,2
2025-10-26 01:49:30,14,person,0.65,3
2025-10-26 01:49:30,14,motorcycle,0.63,3
2025-10-26 01:49:30,14,person,0.60,4
2025-10-26 01:49:30,14,person,0.52,5
2025-10-26 01:49:30,14,person,0.49,6
2025-10-26 01:49:30,14,person,0.48,7
2025-10-26 01:49:30,14,motorcycle,0.47,7
2025-10-26 01:49:30,14,person,0.44,8
2025-10-26 01:49:31,15,person,0.82,1
2025-10-26 01:49:31,15,person,0.79,2
2025-10-26 01:49:31,15,person,0.63,3
2025-10-26 01:49:31,15,person,0.61,4
2025-10-26 01:49:31,15,person,0.60,5
2025-10-26 01:49:31,15,person,0.57,6
2025-10-26 01:49:31,15,motorcycle,0.49,6
2025-10-26 01:49:31,15,person,0.48,7
2025-10-26 01:49:31,15,person,0.41,8
2025-10-26 01:49:31,16,person,0.82,1
2025-10-26 01:49:31,16,person,0.78,2
2025-10-26 01:49:31,16,person,0.62,3
